countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2011,7.510000229,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2012,7.606666883,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2013,7.703333537,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2014,7.800000191,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,7.909999847,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,7.980000019,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,8.239589691,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,8.159999847,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,8.360000134,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,8.56000042,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,8.6972232,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,8.6972232,
IDN,Indonesia,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2023,8.6972232,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1990,0.387,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1991,0.392,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1992,0.396,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1993,0.399,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1994,0.4,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1995,0.404,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1996,0.408,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1997,0.414,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1998,0.419,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),1999,0.429,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2000,0.438,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2001,0.453,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2002,0.473,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2003,0.488,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2004,0.502,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2005,0.514,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2006,0.525,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2007,0.534,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2008,0.539,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2009,0.539,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.543,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2011,0.547,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2012,0.551,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2013,0.554,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2014,0.557,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.562,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.57,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.578,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.586,
