Country_Code,Country_Name,Year,HDI_Value,Life_Expectancy,Education_Years,FDI_Net_Inflows,GDP_Per_Capita,FDI_to_HDI_Ratio,HDI_Level
MMR,Myanmar,2011,0.525,63.859,3.937240802,2519813313.27459,1213.62898703376,4799644406.237314,Low
MMR,Myanmar,2012,0.535,64.251,4.136479078,1333856137.27031,1202.6658960055,2493189041.626748,Low
MMR,Myanmar,2013,0.546,64.617,4.335717355,2254603965.49345,1199.09561597055,4129311292.112546,Low
MMR,Myanmar,2014,0.557,64.994,4.534955631,2175015283.77713,1293.00042298688,3904874836.22465,Medium
MMR,Myanmar,2015,0.566,65.288,4.734193908,4083839111.71186,1166.73305546337,7215263448.25417,Medium
MMR,Myanmar,2016,0.574,65.64,4.849349976,3278096409.87385,1229.19713515893,5710969355.180923,Medium
MMR,Myanmar,2017,0.587,65.909,5.359566689,4804272487.31986,1272.82241830603,8184450574.650529,Medium
MMR,Myanmar,2018,0.6,66.232,5.869783401,1768195522.55912,1298.21310320785,2946992537.598533,Medium
MMR,Myanmar,2019,0.61,66.457,6.380000114,1735589412.93376,1425.98954211903,2845228545.7930493,Medium
MMR,Myanmar,2020,0.609,66.612,6.380000114,1907154040.0,1490.21683548367,3131615829.228243,Medium
MMR,Myanmar,2021,0.605,65.553,6.380000114,2066606470.0,1242.72134419599,3415878462.809917,Medium
MMR,Myanmar,2022,0.606,66.506,6.380000114,1238500000.0,1158.05005034332,2043729372.9372935,Medium
MMR,Myanmar,2023,0.609,66.889,6.380000114,1520172000.0,1233.19666209269,2496177339.901478,Medium
MYS,Malaysia,1990,0.653,70.952,6.147382829,2332455289.06141,2468.69080320116,3571907027.6591268,Medium
MYS,Malaysia,1991,0.661,71.219,6.341312517,3998448522.46005,2679.20101106745,6049090049.107489,Medium
MYS,Malaysia,1992,0.67,71.483,6.535242205,5183358086.40239,3141.43321987651,7736355352.839387,Medium
MYS,Malaysia,1993,0.677,71.721,6.729171893,5005642759.8826,3461.99504214189,7393859320.358345,Medium
MYS,Malaysia,1994,0.684,71.865,6.923101581,4341800916.32296,3757.65292858601,6347662158.3669,Medium
MYS,Malaysia,1995,0.691,71.979,7.117031269,4178239335.0381,4363.14458333034,6046656056.49508,Medium
MYS,Malaysia,1996,0.701,72.119,7.230000019,5078414947.87738,4837.16897250768,7244529169.582569,High
MYS,Malaysia,1997,0.713,72.296,7.527500033,5136514575.67471,4678.56390058182,7204087763.91965,High
MYS,Malaysia,1998,0.718,72.385,7.825000048,2163401815.57572,3294.30978444095,3013094450.6625624,High
MYS,Malaysia,1999,0.723,72.428,8.122500062,3895263157.89473,3527.81581379249,5387639222.537663,High
MYS,Malaysia,2000,0.733,72.732,8.420000076,3787631578.94736,4083.52874483605,5167300926.258336,High
MYS,Malaysia,2001,0.731,73.08,8.254000092,553947368.421052,3943.79943910239,757793937.6484979,High
MYS,Malaysia,2002,0.732,73.469,8.088000107,3192894736.8421,4184.03163773539,4361878055.795218,High
MYS,Malaysia,2003,0.737,73.727,7.922000122,3218947368.42105,4465.32194567208,4367635506.677137,High
MYS,Malaysia,2004,0.739,74.027,7.756000137,4376052631.57894,4939.24851854427,5921586781.568255,High
MYS,Malaysia,2005,0.736,74.37,7.590000153,3924786634.73868,5555.58179951206,5332590536.329728,High
MYS,Malaysia,2006,0.742,74.697,8.082500219,7690731245.66746,6158.40785533236,10364866907.907627,High
MYS,Malaysia,2007,0.754,74.961,8.575000286,9071369834.83859,7168.93031942508,12030994475.91325,High
MYS,Malaysia,2008,0.765,75.151,9.067500353,7572512432.33634,8371.82156086005,9898709061.87757,High
MYS,Malaysia,2009,0.773,75.269,9.56000042,114664434.56228,7191.43287234626,148336914.05210868,High
MYS,Malaysia,2010,0.779,75.376,9.699999809,10885801851.6194,8899.34505544675,13974071696.558922,High
MYS,Malaysia,2011,0.782,75.488,9.811666489,15119439203.9543,10217.1068585031,19334321232.67813,High
MYS,Malaysia,2012,0.787,75.552,9.923333168,8895774250.70401,10600.5744240026,11303398031.3901,High
MYS,Malaysia,2013,0.791,75.464,10.03499985,11296279513.9209,10713.6407638899,14281010763.49039,High
MYS,Malaysia,2014,0.795,75.345,10.14666653,10619431582.9781,11013.3107334403,13357775576.07308,High
MYS,Malaysia,2015,0.8,75.288,10.25833321,9857162111.82329,9648.6797937523,12321452639.779112,Very High
MYS,Malaysia,2016,0.805,75.371,10.36999989,13470089920.807,9476.53409809923,16733030957.52422,Very High
MYS,Malaysia,2017,0.807,75.542,10.46333313,9368469822.66145,9862.54806612235,11609008454.351238,Very High
MYS,Malaysia,2018,0.809,75.734,10.55666637,8304480741.65266,10901.8019954421,10265118345.676958,Very High
MYS,Malaysia,2019,0.812,75.9,10.64999962,9154921685.03934,10920.191763972,11274534094.876032,Very High
MYS,Malaysia,2020,0.81,76.057,10.79666646,4058769678.64231,9957.52626697613,5010826763.755939,Very High
MYS,Malaysia,2021,0.802,73.917,10.94333331,20245157326.8023,10903.1116425938,25243338312.72107,Very High
MYS,Malaysia,2022,0.81,75.444,11.09000015,15027992710.6144,11748.0919307944,18553077420.511604,Very High
MYS,Malaysia,2023,0.819,76.657,11.09000015,7918601050.23635,11379.0851923557,9668621550.960136,Very High
PHL,Philippines,1990,0.593,64.382,7.179999828,530000000.0,803.572588255813,893760539.6290051,Medium
PHL,Philippines,1991,0.594,64.622,7.218999863,544000000.0,804.323330530547,915824915.824916,Medium
PHL,Philippines,1992,0.599,65.353,7.257999897,228000000.0,916.515694532029,380634390.65108514,Medium
PHL,Philippines,1993,0.602,65.661,7.296999931,1238000000.0,918.642953796961,2056478405.3156147,Medium
